index,photo_url,age,act_id,name,real_name,religion,agency,spouse,children,debut_year,gender,state
0,//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Korea_Lee_Byunghun_APSA_Awards_05.jpg/250px-Korea_Lee_Byunghun_APSA_Awards_05.jpg,50,1,이병헌,no real name,불교,BH엔터테인먼트,이민정,이준후 (아들),1991,m,1
1,//upload.wikimedia.org/wikipedia/commons/thumb/5/52/191112_%EC%A0%84%EC%A7%80%ED%98%84_%282%29.jpg/250px-191112_%EC%A0%84%EC%A7%80%ED%98%84_%282%29.jpg,39,2,전지현,왕지현(王智賢),no religion,문화창고,최준혁,2남,1997,f,1
2,//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/181018_%EC%86%90%EC%98%88%EC%A7%84_04_%28cropped%29.jpg/250px-181018_%EC%86%90%EC%98%88%EC%A7%84_04_%28cropped%29.jpg,38,3,손예진,손언진,no religion,엠에스팀엔터테인먼트,no spouse,no child,1999,f,1
3,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/180830_%EC%95%88%EC%86%8C%ED%9D%AC.jpg/250px-180830_%EC%95%88%EC%86%8C%ED%9D%AC.jpg,28,4,안소희,no real name,불교,BH엔터테인먼트,no spouse,no child,2004,f,1
4,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Kang_Dong-won_in_Feb_2016.jpg/250px-Kang_Dong-won_in_Feb_2016.jpg,39,5,강동원,no real name,무신론[1],YG 엔터테인먼트,no spouse,no child,2003,m,1
5,//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Ha_Jung-woo.2019.jpg/250px-Ha_Jung-woo.2019.jpg,42,6,하정우,김성훈,개신교(침례회),워크하우스컴퍼니,no spouse,no child,2003,m,1
6,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/181024_%EA%B9%80%ED%98%9C%EC%88%98.png/250px-181024_%EA%B9%80%ED%98%9C%EC%88%98.png,50,7,김혜수,no real name,불교,호두앤유엔터테인먼트,no spouse,no child,1986,f,1
7,//upload.wikimedia.org/wikipedia/commons/thumb/f/f8/190501_%ED%98%84%EB%B9%88.jpg/250px-190501_%ED%98%84%EB%B9%88.jpg,38,8,현빈,김태평,no religion,VAST엔터테인먼트,no spouse,no child,2003,m,1
8,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Song_Gangho_2016.jpg/250px-Song_Gangho_2016.jpg,53,9,송강호,no real name,no religion,호두엔터테인먼트,황장숙,"1남 1녀(아들 송준평, 딸 송주연)",1991,m,1
9,//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/190920_%EC%A7%80%EC%B0%BD%EC%9A%B1_%281%29.jpg/250px-190920_%EC%A7%80%EC%B0%BD%EC%9A%B1_%281%29.jpg,33,10,지창욱,no real name,불교,글로리어스 엔터테인먼트,no spouse,no child,2008,m,1
10,//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/170617_%ED%95%9C%ED%9A%A8%EC%A3%BC_%ED%8C%AC%EB%AF%B8%ED%8C%85.jpg/250px-170617_%ED%95%9C%ED%9A%A8%EC%A3%BC_%ED%8C%AC%EB%AF%B8%ED%8C%85.jpg,33,11,한효주,no real name,천주교(세례명: 효주 아녜스),BH 엔터테인먼트,no spouse,no child,2003,f,1
11,//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/%EA%B0%90%EC%9A%B0%EC%84%B1.png/270px-%EA%B0%90%EC%9A%B0%EC%84%B1.png,50,12,감우성,no real name,no religion,에잇디크리에이티브,강민영,no child,1991,m,0
12,//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Kang_Kyung-joon_%28South_Korean_actor%2C_born_1983%29_from_acrofan.jpg/220px-Kang_Kyung-joon_%28South_Korean_actor%2C_born_1983%29_from_acrofan.jpg,37,13,강경준,no real name,개신교,케이스타엔터테인먼트,장신영 (2018년 5월 25일 ~ 현재),"아들 강정안
아들 강정우",2004,m,0
13,//upload.wikimedia.org/wikipedia/commons/thumb/9/90/181206_%EA%B0%95%EA%B8%B0%EC%98%81.jpg/250px-181206_%EA%B0%95%EA%B8%B0%EC%98%81.jpg,37,14,강기영,no real name,no religion,유본컴퍼니,有,no child,2002,m,0
14,//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Kang_Ji_Sub_from_acrofan.jpg/250px-Kang_Ji_Sub_from_acrofan.jpg,39,15,강지섭,김영섭 (金永燮),no religion,린브랜딩,no spouse,no child,2005,m,0
15,//upload.wikimedia.org/wikipedia/commons/a/a6/%EB%AA%AC%EC%8A%A4%ED%84%B0ID-%EA%B0%95%EC%A7%80%ED%99%98.jpg,43,16,강지환,조태규,no religion,no angency,no spouse,no child,2001,m,0
16,//upload.wikimedia.org/wikipedia/commons/thumb/1/17/190930_%EA%B0%95%ED%83%9C%EC%98%A4_%282%29.jpg/250px-190930_%EA%B0%95%ED%83%9C%EC%98%A4_%282%29.jpg,26,17,강태오,김윤환,no religion,맨오브크리에이션,no spouse,no child,2013,m,0
17,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/170807_%EA%B0%95%ED%95%98%EB%8A%98_%28cropped%29.jpg/250px-170807_%EA%B0%95%ED%95%98%EB%8A%98_%28cropped%29.jpg,30,18,강하늘,김하늘,no religion,TH컴퍼니,no spouse,no child,2006,m,0
18,//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Ko_Se-won_from_acrofan.jpg/250px-Ko_Se-won_from_acrofan.jpg,42,19,고세원,no real name,no religion,후너스엔터테인먼트,오렌지 라라 (신라라),no child,1997,m,0
19,//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Ko_Chang-Seok.jpg/250px-Ko_Chang-Seok.jpg,50,20,고창석,no real name,no religion,블러썸 엔터테인먼트,이정은,딸 고예원,1987,m,0
20,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Kwak_Dong-yeon_at_Nov_2018.png/250px-Kwak_Dong-yeon_at_Nov_2018.png,23,21,곽동연,no real name,no religion,H&엔터테인먼트,no spouse,no child,2012,m,0
21,//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Kwak_Siyang%2C_Chicago_Typewriter.jpg/250px-Kwak_Siyang%2C_Chicago_Typewriter.jpg,33,22,곽시양,곽명진,no religion,스타하우스엔터테인먼트,no spouse,no child,2014,m,0
22,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/190917_%EA%B6%8C%EC%83%81%EC%9A%B0.jpg/250px-190917_%EA%B6%8C%EC%83%81%EC%9A%B0.jpg,44,23,권상우,no real name,개신교,수컴퍼니,손태영,슬하 1남 1녀,2001,m,0
23,//upload.wikimedia.org/wikipedia/commons/b/b4/Kwon_Oh-Joong_from_acrofan.jpg,48,24,권오중,no real name,개신교[1],H.W 엔터프라이즈,엄윤경,아들 권혁준(1999년 출생),1992,m,0
24,//upload.wikimedia.org/wikipedia/commons/0/04/Kwon_Hyun-Sang.jpg,39,25,권현상,임동재,no religion,매니지먼트 구,no spouse,no child,2000,m,0
25,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/20191231_%EA%B8%B0%ED%83%9C%EC%98%81.jpg/250px-20191231_%EA%B8%B0%ED%83%9C%EC%98%81.jpg,41,26,기태영,김용우 (金容佑),대한예수교침례회,인컴퍼니,유진,"딸 김로희, 김로린",1997,m,0
26,//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Kim_Kang-woo_in_Dec_2019_%28Revised%29.png/250px-Kim_Kang-woo_in_Dec_2019_%28Revised%29.png,42,27,김강우,no real name,천주교 (세례명:빈첸시오),킹엔터테인먼트,한무영,슬하 2남,2002,m,0
27,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/191231_%EA%B9%80%EA%B0%95%ED%9B%88_%281%29.jpg/250px-191231_%EA%B9%80%EA%B0%95%ED%9B%88_%281%29.jpg,11,28,김강훈,no real name,no religion,no angency,no spouse,no child,2013,m,0
28,//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/%EA%B9%80%EB%82%A8%EA%B8%B8_Kim_Nam-gil_20161109_01.png/250px-%EA%B9%80%EB%82%A8%EA%B8%B8_Kim_Nam-gil_20161109_01.png,40,29,김남길,no real name,무종교,no angency,no spouse,no child,2003,m,0
29,//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Kim_Da-hyun_on_the_red_carpet_of_The_Musical_Awards%2C_3_June_2013.jpg/250px-Kim_Da-hyun_on_the_red_carpet_of_The_Musical_Awards%2C_3_June_2013.jpg,40,30,김다현,김세현 (金世賢),no religion,원츠메이커 엔터테인먼트,아래 참조,아래 참조,2003,m,0
30,//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/190520_%EA%B9%80%EB%9E%98%EC%9B%90_%281%29.jpg/250px-190520_%EA%B9%80%EB%9E%98%EC%9B%90_%281%29.jpg,39,31,김래원,no real name,천주교(세례명:요셉),HB엔터테인먼트,no spouse,no child,1997,m,0
31,//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Kim_Roi-ha_at_BIFF_2013.jpg/250px-Kim_Roi-ha_at_BIFF_2013.jpg,54,32,김뢰하,no real name,장로회,DOA Corporation,박윤경(연극배우),no child,1989,m,0
32,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/%EA%B9%80%EB%AC%B4%EC%97%B4_Kim_Mu-yeol_0m31s.png/250px-%EA%B9%80%EB%AC%B4%EC%97%B4_Kim_Mu-yeol_0m31s.png,38,33,김무열,no real name,no religion,프레인TPC,윤승아 (2015년 ~ 현재),no child,2002,m,0
33,//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Kim_Min-jun_from_acrofan.jpg/250px-Kim_Min-jun_from_acrofan.jpg,44,34,김민준,no real name,no religion,가족이엔티,권다미 (2019년 10월 11일 ~ 현재),no child,1995,m,0
34,//upload.wikimedia.org/wikipedia/commons/thumb/5/58/190214_%EA%B9%80%EC%9A%A9%EA%B1%B4_%283%29.jpg/250px-190214_%EA%B9%80%EC%9A%A9%EA%B1%B4_%283%29.jpg,74,35,김용건,no real name,no religion,no angency,no spouse,"하정우(장남), 차현우(차남)",1967,m,0
35,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/2017_%EB%82%A8%EC%A3%BC%ED%98%81_05.png/250px-2017_%EB%82%A8%EC%A3%BC%ED%98%81_05.png,26,36,남주혁,no real name,기독교,매니지먼트 숲,no spouse,no child,2013,m,0
36,//upload.wikimedia.org/wikipedia/commons/thumb/5/58/191212_Do_Sang-woo.jpg/250px-191212_Do_Sang-woo.jpg,32,37,도상우,no real name,no religion,제이와이드컴퍼니,no spouse,no child,2008,m,0
37,//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Ryu_Su-young_in_Feb_2019.png/250px-Ryu_Su-young_in_Feb_2019.png,41,38,류수영,어남선,개신교,이엘라이즈,박하선,슬하 1녀,1998,m,0
38,//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Ryu_Seung-beom.jpg/250px-Ryu_Seung-beom.jpg,40,39,류승범,no real name,개신교,no angency,10살 연하 슬로바키아 여성,슬하 1녀,2000,m,0
39,//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Don_Lee_by_Gage_Skidmore.jpg/250px-Don_Lee_by_Gage_Skidmore.jpg,49,40,마동석,이동석,no religion,빅펀치이엔티,no spouse,no child,2003,m,0
40,//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/%EB%AA%85%EA%B3%84%EB%82%A8_%EB%B2%99%EC%BB%A41.png/250px-%EB%AA%85%EA%B3%84%EB%82%A8_%EB%B2%99%EC%BB%A41.png,68,41,명계남,明桂男 (한자음),개신교,이스트필름 (CEO 대표이사),no spouse,no child,1973,m,0
41,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/180503_%EB%B0%95%EB%B3%B4%EA%B2%80_01.jpg/300px-180503_%EB%B0%95%EB%B3%B4%EA%B2%80_01.jpg,27,42,박보검,no real name,개신교,블러썸 엔터테인먼트,no spouse,no child,2011,m,0
42,//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Park_Sang-Won.jpg/185px-Park_Sang-Won.jpg,61,43,박상원,no real name,개신교 (장로회),no angency,김수경,"아들 박도현, 딸 박지윤",1978,m,0
43,//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/190626_%EB%B0%95%EC%84%9C%EC%A4%80_%281%29.jpg/250px-190626_%EB%B0%95%EC%84%9C%EC%A4%80_%281%29.jpg,31,44,박서준,박용규,no religion,어썸이엔티,no spouse,no child,2011,m,0
44,//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/160206_Park_Sung-woong_6_cropped.jpg/250px-160206_Park_Sung-woong_6_cropped.jpg,47,45,박성웅,no real name,개신교,씨제스 엔터테인먼트,신은정 (2008년 ~ 현재),아들 박상우,1997,m,0
45,//upload.wikimedia.org/wikipedia/commons/thumb/0/06/%EB%B0%95%EC%A4%91%ED%9B%88_KBSView_01.png/250px-%EB%B0%95%EC%A4%91%ED%9B%88_KBSView_01.png,54,46,박중훈,no real name,개신교(침례회),젠 스타즈,윤순[1],"아들 박배승(1995년 서울 출생)  장녀 박소휘(1997년 서울 출생)  차녀 박미휘(모델, 2002년 출생)",1986,m,0
46,//upload.wikimedia.org/wikipedia/commons/thumb/0/05/%EB%B0%95%ED%95%B4%EC%9D%BC.jpg/250px-%EB%B0%95%ED%95%B4%EC%9D%BC.jpg,43,47,박해일,no real name,no religion,no angency,서유선,슬하 1남 1녀,2000,m,0
47,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Park_Hae-jin_in_Jan_2020.png/200px-Park_Hae-jin_in_Jan_2020.png,37,48,박해진,no real name,no religion,마운틴 무브먼트,no spouse,no child,2006,m,0
48,//upload.wikimedia.org/wikipedia/commons/thumb/2/25/Park_Hyung-sik_at_Hwarang_Press_Conference_02.png/300px-Park_Hyung-sik_at_Hwarang_Press_Conference_02.png,28,49,박형식,no real name,no religion,United Artists Agency(UAA),no spouse,no child,2010,m,0
49,//upload.wikimedia.org/wikipedia/commons/0/02/160726_%EC%98%81%ED%99%94_%27%EC%98%AC%EB%A0%88%27_%EC%A0%9C%EC%9E%91%EB%B0%9C%ED%91%9C%ED%9A%8C_%EB%B0%95%ED%9D%AC%EC%88%9C.jpg,50,50,박희순,no real name,no religion,스타쉽엔터테인먼트(킹콩 by 스타쉽),박예진,no child,1990,m,0
50,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Bae_Sung-woo_310818.png/250px-Bae_Sung-woo_310818.png,47,51,배성우,no real name,no religion,아티스트컴퍼니,no spouse,no child,1999,m,0
51,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Bae_Yong_Joon.jpg/250px-Bae_Yong_Joon.jpg,48,52,배용준,no real name,no religion,키이스트,박수진,슬하 1남 1녀,1994,m,0
52,//upload.wikimedia.org/wikipedia/commons/thumb/2/23/Baek_Do-bin_from_acrofan.jpg/250px-Baek_Do-bin_from_acrofan.jpg,42,53,백도빈,no real name,no religion,리옌엔터테인먼트,정시아,"아들 백준우, 딸 백서우",2004,m,0
53,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/%EB%B0%B1%EC%84%B1%ED%98%84_Baek_Sung-hyun_161207.png/250px-%EB%B0%B1%EC%84%B1%ED%98%84_Baek_Sung-hyun_161207.png,31,54,백성현,no real name,no religion,싸이더스HQ,3살 연하 일반인 여성(2020년 4월 25일 ~ ),no child,1994,m,0
54,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/180813_%EB%B0%B1%EC%9C%A4%EC%8B%9D.png/250px-180813_%EB%B0%B1%EC%9C%A4%EC%8B%9D.png,73,55,백윤식,no real name,no religion,no angency,no spouse,"백도빈(장남), 백서빈(차남)",1970,m,0
55,//upload.wikimedia.org/wikipedia/commons/8/8d/Baek_Il-Seob_from_acrofan.jpg,76,56,백일섭,no real name,불교,웰메이드 스타 이엔티,채미영,백승호(아들),1963,m,0
56,//upload.wikimedia.org/wikipedia/commons/thumb/5/55/190716_%EB%B4%89%ED%83%9C%EA%B7%9C.jpg/250px-190716_%EB%B4%89%ED%83%9C%EA%B7%9C.jpg,39,57,봉태규,no real name,no religion,iMe KOREA,아래 참조,아래 참조,2000,m,0
57,//upload.wikimedia.org/wikipedia/commons/thumb/a/ac/190702_%EC%84%9C%EA%B0%95%EC%A4%80.png/220px-190702_%EC%84%9C%EA%B0%95%EC%A4%80.png,27,58,서강준,이승환 (李承桓),no religion,맨오브크리에이션,no spouse,no child,2013,m,0
58,//upload.wikimedia.org/wikipedia/commons/thumb/8/8d/161024_%EC%84%9C%EC%A4%80%EC%98%81_02.jpg/270px-161024_%EC%84%9C%EC%A4%80%EC%98%81_02.jpg,33,59,서준영,김상구 (金尙久),개신교,루브 엔터테인먼트,no spouse,no child,2004,m,0
59,//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Seo_Ji-Seok.jpg/250px-Seo_Ji-Seok.jpg,39,60,서지석,서종욱 (徐宗旭),no religion,"큐로홀딩스 매니지먼트, 열음엔터테인먼트",김미리,no child,2001,m,0
60,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/160217_%EC%84%9C%ED%95%98%EC%A4%80.jpg/250px-160217_%EC%84%9C%ED%95%98%EC%A4%80.jpg,31,61,서하준,손종수 (孫鐘秀),천주교(세례명 : 마태오),로빈케이이엔티,no spouse,no child,2008,m,0
61,//upload.wikimedia.org/wikipedia/commons/thumb/8/83/151001_%EC%84%B1%EB%8F%99%EC%9D%BC.jpg/250px-151001_%EC%84%B1%EB%8F%99%EC%9D%BC.jpg,53,62,성동일,no real name,no religion,서진 E&M,박경혜,아들 성준(2006년  (13–14세) 출생)  장녀 성빈(2008년  (11–12세) 출생)  차녀 성율(2011년  (8–9세) 출생),1984,m,0
62,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/So_Ji-sub.jpg/250px-So_Ji-sub.jpg,43,63,소지섭,no real name,무교,피프티원케이,조은정 (2020년 4월 7일 ~,no child,1995,m,0
63,//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/190805_%EC%86%90%EB%B3%91%ED%98%B8.jpg/250px-190805_%EC%86%90%EB%B3%91%ED%98%B8.jpg,58,64,손병호,no real name,no religion,가족이엔티,최지연,"손지오(장녀), 손지아(차녀)",1983,m,0
64,//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Son_Hyun-Joo.jpg/250px-Son_Hyun-Joo.jpg,55,65,손현주,no real name,개신교(감리교)[1],키이스트,이재숙,"손형석(아들), 손정민(딸)",1991,m,0
65,//upload.wikimedia.org/wikipedia/commons/thumb/1/17/Son_Ho-joon_in_Feb_2019.png/250px-Son_Ho-joon_in_Feb_2019.png,36,66,손호준,no real name,no religion,YG 엔터테인먼트,no spouse,no child,2005,m,0
66,//upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Song_Seungheon.jpg/250px-Song_Seungheon.jpg,44,67,송승헌,no real name,개신교,킹콩 by 스타쉽,no spouse,no child,1995,m,0
67,//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Song_Seung-Hwan.jpg/250px-Song_Seung-Hwan.jpg,63,68,송승환,no real name,no religion,no angency,박찬실,no child,1965,m,0
68,//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Korea_Makgeolli_Wanderers_05_Song_Il_Gook.png/175px-Korea_Makgeolli_Wanderers_05_Song_Il_Gook.png,49,69,송일국,no real name,천주교(세례명 : 바오로),씨제스엔터테인먼트,정승연,"아들 송대한, 송민국, 송만세[1]",1998,m,0
69,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Song_Joong-ki_at_Style_Icon_Asia_2016.jpg/230px-Song_Joong-ki_at_Style_Icon_Asia_2016.jpg,35,70,송중기,no real name,no religion,하이스토리 디앤씨,"송혜교 (이전배우자),  (2017년~ 2019)",no child,2008,m,0
70,//upload.wikimedia.org/wikipedia/commons/thumb/1/16/190603_%EC%8B%A0%EC%84%B1%EB%A1%9D.jpg/250px-190603_%EC%8B%A0%EC%84%B1%EB%A1%9D.jpg,37,71,신성록,no real name,개신교,HB엔터테인먼트,no spouse,1녀,2003,m,0
71,//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/191025_%EC%8B%A0%EC%9E%AC%ED%95%98.jpg/250px-191025_%EC%8B%A0%EC%9E%AC%ED%95%98.jpg,27,72,신재하,no real name,no religion,제이와이드컴퍼니,no spouse,no child,2013,m,0
72,//upload.wikimedia.org/wikipedia/commons/thumb/2/23/190626_%EC%95%88%EC%84%B1%EA%B8%B0.jpg/250px-190626_%EC%95%88%EC%84%B1%EA%B8%B0.jpg,68,73,안성기,no real name,천주교 (세례명: 사도요한),no angency,오소영(조각가 겸 대학 교수),"안다빈(장남), 안필립(차남)",1957,m,0
73,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/180430_%EC%95%88%EC%9E%AC%EC%9A%B1.jpg/250px-180430_%EC%95%88%EC%9E%AC%EC%9A%B1.jpg,49,74,안재욱,no real name,no religion,제이블엔터테인먼트,최현주,안수현,1994,m,0
74,//upload.wikimedia.org/wikipedia/commons/thumb/b/b2/190503_%EC%95%88%ED%9A%A8%EC%84%AD.jpg/250px-190503_%EC%95%88%ED%9A%A8%EC%84%AD.jpg,25,75,안효섭,no real name,천주교,스타하우스엔터테인먼트,no spouse,no child,2015,m,0
75,//upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Yang_Dong-geun_from_acrofan.jpg/250px-Yang_Dong-geun_from_acrofan.jpg,41,76,양동근,no real name,개신교,조 엔터테인먼트,박가람,아들 양준서 딸 양조이 아들 양실로,1987,m,0
76,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/171216_%EC%96%91%EC%84%B8%EC%A2%85_10.jpg/250px-171216_%EC%96%91%EC%84%B8%EC%A2%85_10.jpg,27,77,양세종,no real name,no religion,굳피플,no spouse,no child,2016,m,0
77,//upload.wikimedia.org/wikipedia/commons/c/c0/180920_SBS_%27%ED%9D%89%EB%B6%80%EC%99%B8%EA%B3%BC%27_%EC%A0%9C%EC%9E%91%EB%B0%9C%ED%91%9C%ED%9A%8C_%EC%97%84%EA%B8%B0%EC%A4%80.jpg,44,78,엄기준,no real name,no religion,싸이더스HQ,no spouse,no child,1995,m,0
78,//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Uhm_Tae-goo.2019.jpg/250px-Uhm_Tae-goo.2019.jpg,36,79,엄태구,no real name,no religion,프레인TPC,no spouse,no child,2007,m,0
79,//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Uhm_Tae-woong_at_BIFF_2013_02.jpg/250px-Uhm_Tae-woong_at_BIFF_2013_02.jpg,46,80,엄태웅,no real name,no religion,화이브라더스,윤혜진,엄지온 (딸),1998,m,0
80,//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/190708_%EC%97%AC%EC%A7%84%EA%B5%AC.jpg/260px-190708_%EC%97%AC%EC%A7%84%EA%B5%AC.jpg,23,81,여진구,no real name,no religion,JANUS ENT,no spouse,no child,2005,m,0
81,//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Yeon_Woo-jin_in_August_2019.jpg/250px-Yeon_Woo-jin_in_August_2019.jpg,36,82,연우진,김봉회,no religion,점프엔터테인먼트,no spouse,no child,2009,m,0
82,//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Yeon_Jeong-hun_from_acrofan_-_cropped_01.jpg/250px-Yeon_Jeong-hun_from_acrofan_-_cropped_01.jpg,42,83,연정훈,no real name,no religion,935엔터테인먼트,한가인(2005년 ~ ),1남 1녀,1999,m,0
